"[0] CityNameComparatorJaro","[1] CityLocationComparator","[2] CityPopulationComparator","finalValue","isMatch","label"
"1.0","0.9997334133200109","0.8204732955291847","0.06420851420724837","true","1"
"1.0","0.9867124355560016","0.8924115864445368","0.0640349487408289","true","1"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"1.0","0.9933417329999974","0.9096638655462185","0.07209723222383821","true","1"
"1.0","0.9194645646999953","0.7313789254816446","-0.015680865763020482","true","1"
"1.0","0.7775692800000082","0.4386467139479905","-0.17692021465569052","true","1"
"1.0","0.9954647976840031","0.9286704449973289","0.07667447273501127","true","1"
"0.0","0.0","0.09985356031484538","-1.2462216730734028","false","0"
"0.42857142857142855","0.0","0.09268126079617478","-1.0874260305450232","false","0"
"1.0","0.9683608932399904","0.8814421605695009","0.04716134204671826","true","1"
"0.5777777777777778","0.0","0.01749610538123647","-1.0428994652924657","false","0"
"1.0","0.9993340000000046","0.5005898062127218","0.016533845319486692","true","1"
"0.0","0.0","0.7720826021213425","-1.1467317748860413","false","0"
"1.0","0.9867124355560016","0.9256090594735075","0.06894817474911658","true","1"
"1.0","0.9694295737970309","0.836574074074074","0.04140893878829564","true","1"
"1.0","0.0","0.0984976788288362","-0.8734223435333321","false","0"
"1.0","0.987260834445911","0.9854000847737013","0.0782529659710598","true","1"
"0.5738095238095239","0.6096648465599854","0.7007279025835047","-0.4366298305453408","false","0"
"1.0","0.993268439955997","0.9829966390089243","0.08288957617675433","true","1"
"1.0","0.9933339999999973","0.9102212823690364","0.07217330379061523","true","1"
"1.0","0.8999405999999969","0.9560418075255346","0.001344826113776565","true","1"
"0.44761904761904764","0.0","0.0","-1.094038095238095","false","0"
"0.49523809523809526","0.3002643662513412","0.27371466806690026","-0.7862467312474246","false","0"
"1.0","0.9986664404000143","0.9411991227662904","0.08118928214182286","true","1"
"0.5761904761904763","0.0","0.0","-1.0460809523809522","false","0"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"0.0","0.9552029081155433","0.1700834005918752","-0.4420540400683859","false","0"
"0.46365914786967416","0.0","0.7014352999417792","-0.9842427134532282","false","0"
"1.0","0.9780050470520313","0.8886324891715157","0.056239802497622365","true","1"
"0.736111111111111","0.6139908935039996","0.006117785342949267","-0.4752986908229753","false","1"
"1.0","0.9843876268128406","0.8447748060151161","0.05505278917170778","true","1"
"1.0","0.0","0.26742213927807645","-0.8484215233868446","false","0"
"1.0","0.9800534129599967","0.8990470184289818","0.059483344897246604","true","1"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"0.40740740740740744","0.0","0.1117875534607663","-1.0924924791248434","false","0"
"1.0","0.7241637095985456","0.9998061776043067","-0.1382486430381711","true","1"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"0.0","0.0","0.09802609684225938","-1.2464921376673455","false","0"
"1.0","0.7321512608256773","0.9339324387290495","-0.14136030132196284","true","1"
"0.49523809523809526","0.2792973714143265","0.3177936794793004","-0.7971466102679486","false","0"
"0.45634920634920634","0.07375304883851923","0.34337319398827304","-0.978673729736672","false","0"
"0.4305555555555555","0.0","0.629979035639413","-1.0071658805031445","false","0"
"0.5694444444444444","0.0","0.0","-1.0485972222222222","false","0"
"0.5138888888888888","0.3402083569999955","0.6506134905206831","-0.6903155031803869","false","0"
"1.0","0.9999860000480008","0.8601581192492037","0.07029176768877082","true","1"
"1.0","0.0","0.8429845539589422","-0.7632382860140765","false","0"
"1.0","0.9609390550459158","0.8737618060354757","0.039857102036406494","true","1"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"1.0","0.9232461967713673","0.9488351625255331","0.019645193570785258","true","1"
"0.0","0.3088646268000076","0.0","-1.0043334951291936","false","0"
"0.0","0.640992291827162","0.9204244031830239","-0.5921125938205408","false","0"
"1.0","0.9999939999999992","0.9635365193281897","0.08559841886057148","true","1"
"0.5833333333333334","0.0","0.3746969290378468","-0.9879615211690651","false","0"
"0.3948412698412698","0.5675908494400032","0.13401306266722068","-0.622222277189815","false","0"
"1.0","0.9665962004399972","0.9657629207065055","0.058174354830200475","true","1"
"0.44166666666666665","0.19130534000001012","0.0","-0.937283595793325","false","0"
"0.8690476190476191","0.0","0.9690071493330569","-0.7934321799939457","false","0"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"1.0","0.9188770020000283","0.3542740863459869","-0.0719806465587704","true","1"
"0.5111111111111111","0.0","0.04022578682572653","-1.064402139105348","false","0"
"1.0","0.9960660000000132","0.9614439547738471","0.08202455130654038","true","1"
"1.0","0.9982006216440041","0.0","-0.05849528341383248","true","1"
"1.0","0.9673339999999939","0.9074426846157102","0.05015607132312014","true","1"
"1.0","0.9994444226972674","0.9646071011709778","0.08530016623473399","true","1"
"0.9333333333333332","0.0","0.2810020945689641","-0.8712783566704599","false","0"
"1.0","0.0","0.0","-0.8879999999999999","false","0"
"0.0","0.0","0.963464431549538","-1.1184072641306684","false","0"
"1.0","0.9800888884444439","0.9835566424893571","0.0720202493857578","true","1"
"0.7536231884057972","0.0","0.20243206887274678","-0.949938604531471","false","0"
"0.4047619047619047","0.0","0.0","-1.1100238095238095","false","0"
"1.0","0.9770589078879901","0.9158951035067772","0.05948842777392291","true","1"
"0.4087301587301588","0.9255887600000042","0.0","-0.33937939123364713","false","0"
"0.7999999999999999","0.0","0.7311164917944579","-0.8543947592144201","false","0"
"0.8095238095238096","0.0","0.7796485997153574","-0.843659626289746","false","0"
"0.5738095238095239","0.6206809714459262","0.683009343217418","-0.43009777755130496","false","0"
